"ASV","s.control_high","s.control_low","s.median","s.pd_high","s.pd_low","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"448b1492442158abaf38e2bc1d9870d0",0,0,0,1,0,4,0.291648475091827,0.0091,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Libanicoccus","s__uncultured_bacterium"
"dd228d51656bfa4af8a21464f726fbfc",1,0,0,1,0,8,0.393913957529693,0.0382,"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Chloroplast","f__Chloroplast","g__Chloroplast",NA
"c003202be6a53b07fbb26ecd2161fe2c",0,0,0,1,1,15,0.35616750472819,0.0188,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA
"8408059b62784f6a2740d42ac2aa1069",0,0,0,1,0,4,0.286449808146811,0.0493,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__uncultured_bacterium"
"1f9695def389854178788b2e4a8792ee",0,0,0,1,1,15,0.369609364754358,0.0329,"d__Bacteria","p__Firmicutes","c__Incertae_Sedis","o__DTU014","f__DTU014","g__DTU014","s__unidentified"
"861d861704ef6eac3ab9fdbe008fcb85",1,0,0,0,0,1,0.414459069020278,0.0014,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__uncultured_bacterium"
"b05520bb7a218aafa7656bb7c7747b37",0,1,0,0,1,12,0.251614713853312,0.0403,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae","s__uncultured_organism"
"fdc9a6c69a6b7d728eb6dfe27e462441",1,0,0,0,0,1,0.335499430072767,0.0446,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575","s__uncultured_bacterium"
"7181b9d732cc0c95f0f605bff39302dd",1,0,0,0,0,1,0.353927353172452,0.0045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Bacteroides]_pectinophilus_group","s__uncultured_bacterium"
"ecb427bf4473bf2f3205b06132125d07",1,0,0,1,0,8,0.392574626974215,0.0114,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Howardella",NA
"1131f697b19dc061094f3b846b9f66a0",0,1,1,1,1,30,0.527836024808752,0.0392,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__DTU089",NA
"58ee68af6ed3ecc53b8c10f063ef7ea6",1,0,0,0,0,1,0.264816068882078,0.021,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Caproiciproducens","s__uncultured_bacterium"
"a3d1f4355f204d4d49ad2bea3b801265",1,1,0,1,0,17,0.447377942540987,0.0161,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerosporobacter","s__uncultured_organism"
"269fea3886e14ab0acb08ade901906fd",1,1,0,1,1,28,0.430276910265955,0.0213,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-008","s__uncultured_organism"
"b8987c5d3c76dafe8b6470c5cccaba7c",1,0,1,1,0,19,0.384067850277208,0.0409,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio",NA
"788cd2fab180ca78a4376c6afc0e61c6",1,0,0,0,0,1,0.374331046928665,0.0308,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-003","s__uncultured_bacterium"
